                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89761,                 2.8803,                 1.3041,                0.83522,                0.86645,                0.93217,                0.75503,                 1.0755,                0.71727,                 1.1129,                      0,                      0,                      0
                      2,                 1.0494,                 2.3821,                 1.5327,                0.86064,                0.85891,                0.91672,                0.74757,                 1.1012,                0.72761,                 1.1219,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.0154,                 2.5283,                 1.4549,                0.87166,                0.85532,                0.92142,                0.74528,                 1.0995,                0.72517,                 1.1207,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2183,                 2.5957,                 1.6349,                0.87778,                0.85288,                0.92142,                0.74553,                 1.1056,                0.72709,                 1.1266,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.91964,                 1.1817,                 1.2607,                0.87236,                0.85345,                 0.9119,                 0.7431,                  1.088,                0.71499,                 1.1202,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.99647,                 2.2607,                 1.3474,                0.86766,                 0.8555,                0.91192,                0.74471,                 1.0718,                0.70778,                 1.1128,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                0.84139,                 1.4943,                 1.2297,                0.86276,                0.85921,                0.91087,                0.74122,                 1.0738,                0.71244,                 1.1155,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.0979,                 1.4476,                 1.5703,                0.86157,                0.86086,                0.90969,                0.73751,                 1.1042,                0.73218,                 1.1287,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.75525,                0.97009,                 1.2987,                0.86174,                0.86244,                0.89009,                0.73806,                 1.1244,                0.74816,                 1.1408,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.99001,                 1.6717,                 1.5446,                0.86285,                 0.8677,                0.89563,                0.73688,                 1.1039,                0.74154,                 1.1316,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.74696,                 1.2895,                 1.1124,                0.86383,                0.87224,                0.89646,                0.73706,                 1.0977,                0.74189,                 1.1332,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.87245,                 1.5175,                 1.2746,                 0.8649,                0.87522,                0.88177,                 0.7347,                 1.0774,                0.73808,                 1.1256,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.85433,                0.99713,                 1.2819,                0.85267,                0.88294,                0.88191,                0.73385,                 1.0859,                0.75106,                 1.1309,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.93473,                  1.739,                 1.3611,                  0.762,                0.88333,                0.88215,                0.74408,                 1.0963,                0.78017,                 1.1363,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.56531,                0.87893,                 1.0622,                0.67395,                0.88333,                0.88241,                0.73536,                 1.1201,                0.81593,                 1.1517,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.72445,                 1.2846,                 1.1769,                0.61621,                0.88333,                0.88271,                0.74241,                 1.1417,                0.84889,                 1.1669,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.84298,                0.90961,                 1.3173,                0.86775,                0.70977,                0.88947,                0.73443,                 1.1543,                0.88682,                 1.1736,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.65227,                0.80504,                 1.3277,                0.86775,                0.70977,                0.88947,                0.73443,                 1.1543,                0.88682,                 1.1736,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.81666,                 1.3668,                 1.3445,                0.85661,                0.71667,                0.88497,                0.73478,                 1.1535,                 0.9115,                 1.1682,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.72011,                0.79704,                  1.263,                0.85661,                0.71667,                0.88497,                0.73478,                 1.1535,                 0.9115,                 1.1682,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.78548,                0.72851,                    1.2,                0.84058,                0.71667,                0.88489,                0.73387,                 1.1343,                0.92271,                 1.1526,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.81835,                0.68825,                 1.2749,                0.84058,                0.71667,                0.88489,                0.73387,                 1.1343,                0.92271,                 1.1526,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.68293,                0.68467,                 1.0965,                0.81799,                0.71667,                0.88561,                0.73399,                 1.1305,                0.94479,                 1.1438,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.65742,                0.85552,                 1.0902,                0.81799,                0.71667,                0.88561,                0.73399,                 1.1305,                0.94479,                 1.1438,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.89761,                 0.7107,                 1.2344,                0.80098,                0.71667,                0.88646,                0.63633,                 1.1271,                0.94513,                 1.1408,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.90378,                 0.6442,                 1.3547,                0.80098,                0.71667,                0.88646,                0.63633,                 1.1271,                0.94513,                 1.1408,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.61776,                 0.5662,                 1.0657,                0.77839,                0.71667,                0.88568,                0.59876,                 1.1433,                0.97956,                 1.1504,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.66218,                0.67195,                 1.0525,                0.77839,                0.71667,                0.88568,                0.59876,                 1.1433,                0.97956,                 1.1504,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.61767,                0.54758,                 1.0478,                0.73366,                0.71667,                0.88567,                0.58886,                 1.1834,                 1.0297,                 1.1774,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.55958,                0.66651,                 1.1848,                0.73366,                0.71667,                0.88567,                0.58886,                 1.1834,                 1.0297,                 1.1774,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.43416,                0.60171,                0.94694,                0.70915,                0.71667,                0.80224,                0.55791,                 1.2003,                 1.0461,                 1.1896,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.53823,                0.48413,                 0.9895,                0.70915,                0.71667,                0.80224,                0.55791,                 1.2003,                 1.0461,                 1.1896,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0189,                0.99165,                 1.5423,                0.69757,                0.71667,                 0.8001,                0.53025,                 1.2187,                 1.0862,                 1.1993,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.66902,                0.71348,                 1.1985,                0.69757,                0.71667,                 0.8001,                0.53025,                 1.2187,                 1.0862,                 1.1993,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.63082,                 0.5621,                 1.1089,                0.71156,                0.71667,                0.77115,                0.52688,                 1.2476,                 1.1526,                 1.2124,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.47136,                0.57096,                 1.0206,                0.71156,                0.71667,                0.77115,                0.52688,                 1.2476,                 1.1526,                 1.2124,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.56746,                 0.5817,                 1.0148,                 0.7332,                0.71667,                0.79862,                0.52281,                 1.2824,                 1.2064,                 1.2221,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.47483,                0.45002,                 1.0636,                 0.7332,                0.71667,                0.79862,                0.52281,                 1.2824,                 1.2064,                 1.2221,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.63867,                0.81641,                 1.2431,                0.90728,                0.56175,                0.79598,                  0.519,                  1.329,                 1.2612,                 1.2348,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 0.5148,                0.41655,                0.90825,                0.90728,                0.56175,                0.79598,                  0.519,                  1.329,                 1.2612,                 1.2348,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.76381,                0.73264,                 1.3372,                0.90298,                0.56333,                 0.7051,                0.48675,                 1.3872,                 1.3228,                 1.2591,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 0.7268,                 0.7064,                 1.1835,                0.90298,                0.56333,                 0.7051,                0.48675,                 1.3872,                 1.3228,                 1.2591,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.52355,                0.47187,                 1.0845,                0.89851,                0.56462,                0.70474,                0.48378,                 1.4173,                 1.3825,                 1.2784,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.39068,                0.37588,                0.96858,                0.89851,                0.56462,                0.70474,                0.48378,                 1.4173,                 1.3825,                 1.2784,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.48701,                0.47469,                 1.0132,                0.89673,                0.56486,                0.70264,                0.48234,                 1.4478,                 1.4458,                    1.3,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.55795,                0.52665,                 1.1038,                0.89673,                0.56486,                0.70264,                0.48234,                 1.4478,                 1.4458,                    1.3,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.52054,                0.41085,                 1.0209,                0.88976,                0.56667,                 0.7017,                 0.4795,                 1.4762,                 1.5196,                 1.3218,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.58353,                0.73498,                 1.0776,                0.88976,                0.56667,                 0.7017,                 0.4795,                 1.4762,                 1.5196,                 1.3218,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 0.4819,                0.33964,                 1.0383,                0.88471,                0.56667,                0.70363,                0.47538,                 1.5148,                   1.57,                 1.3591,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.45788,                0.40601,                  1.011,                0.88471,                0.56667,                0.70363,                0.47538,                 1.5148,                   1.57,                 1.3591,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.37739,                0.56942,                 0.9145,                0.89141,                0.56667,                0.66595,                0.46436,                 1.5382,                 1.6362,                 1.3881,             3.0048e-05,             3.0048e-05,             3.0048e-05
